Symbol,Name,Sector,Sector Ticker,Sector ETF Ticker,,,,,,
NKE,Nike,Consumer Discretionary,^SP500-25,XLY,,- 'NKE',,,,
NLSN,Nielsen Holdings,Industrials,^SP500-20,IYJ,,- 'NLSN',,,,
NOC,Northrop Grumman Corp.,Industrials,^SP500-20,IYJ,,- 'NOC',,,,
NOV,National Oilwell Varco Inc.,Energy,^SP500-10,IYE,,- 'NOV',,,,
NRG,NRG Energy,Utilities,^SP500-55,IDU,,- 'NRG',,,,
NSC,Norfolk Southern Corp.,Industrials,^SP500-20,IYJ,,- 'NSC',,,,
NTAP,NetApp,Information Technology,^SP500-45,IYW,,- 'NTAP',,,,
NTES,"NetEase, Inc.",Communication Services,^SP500-50,IYZ,,- 'NTES',,,,
NTRS,Northern Trust Corp.,Financials,^SP500-40,IYF,,- 'NTRS',,,,
NUE,Nucor Corp.,Materials,^SP500-15,IYM,,- 'NUE',,,,
NVDA,Nvidia Corporation,Information Technology,^SP500-45,IYW,,- 'NVDA',,,,
NWL,Newell Brands,Consumer Discretionary,^SP500-25,XLY,,- 'NWL',,,,
NWS,News Corp. Class B,Consumer Discretionary,^SP500-25,XLY,,- 'NWS',,,,
NWSA,News Corp. Class A,Consumer Discretionary,^SP500-25,XLY,,- 'NWSA',,,,
NXPI,NXP Semiconductors,Information Technology,^SP500-45,IYW,,- 'NXPI',,,,
O,Realty Income Corporation,Real Estate,^SP500-60,IYR,,- 'O',,,,
OKE,ONEOK,Energy,^SP500-10,IYE,,- 'OKE',,,,
OKTA,"Okta, Inc.",Information Technology,^SP500-45,IYW,,- 'OKTA',,,,
OMC,Omnicom Group,Consumer Discretionary,^SP500-25,XLY,,- 'OMC',,,,
ORCL,Oracle Corp.,Information Technology,^SP500-45,IYW,,- 'ORCL',,,,
ORLY,O'Reilly Automotive,Consumer Discretionary,^SP500-25,XLY,,- 'ORLY',,,,
OXY,Occidental Petroleum,Energy,^SP500-10,IYE,,- 'OXY',,,,
PAYX,Paychex Inc.,Information Technology,^SP500-45,IYW,,- 'PAYX',,,,
PBCT,People's United Financial,Financials,^SP500-40,IYF,,- 'PBCT',,,,
PCAR,PACCAR Inc.,Industrials,^SP500-20,IYJ,,- 'PCAR',,,,
PCG,PG&E Corp.,Utilities,^SP500-55,IDU,,- 'PCG',,,,
PDCO,Patterson Companies,Health Care,^SP500-35,IYH,,- 'PDCO',,,,
PDD,Pinduoduo Inc.,Consumer Discretionary,^SP500-25,XLY,,- 'PDD',,,,
PEG,Public Serv. Enterprise Inc.,Utilities,^SP500-55,IDU,,- 'PEG',,,,
PEP,PepsiCo Inc.,Consumer Staples,^SP500-30,VDC,,- 'PEP',,,,
PFE,Pfizer Inc.,Health Care,^SP500-35,IYH,,- 'PFE',,,,
PFG,Principal Financial Group,Financials,^SP500-40,IYF,,- 'PFG',,,,
PG,Procter & Gamble,Consumer Staples,^SP500-30,VDC,,- 'PG',,,,
PGR,Progressive Corp.,Financials,^SP500-40,IYF,,- 'PGR',,,,
PH,Parker-Hannifin,Industrials,^SP500-20,IYJ,,- 'PH',,,,
PHM,Pulte Homes Inc.,Consumer Discretionary,^SP500-25,XLY,,- 'PHM',,,,
PKG,Packaging Corporation of America,Materials,^SP500-15,IYM,,- 'PKG',,,,
PKI,PerkinElmer,Health Care,^SP500-35,IYH,,- 'PKI',,,,
PLD,Prologis,Real Estate,^SP500-60,IYR,,- 'PLD',,,,
PM,Philip Morris International,Consumer Staples,^SP500-30,VDC,,- 'PM',,,,
PNC,PNC Financial Services,Financials,^SP500-40,IYF,,- 'PNC',,,,
PNR,Pentair Ltd.,Industrials,^SP500-20,IYJ,,- 'PNR',,,,
PNW,Pinnacle West Capital,Utilities,^SP500-55,IDU,,- 'PNW',,,,
PPG,PPG Industries,Materials,^SP500-15,IYM,,- 'PPG',,,,
PPL,PPL Corp.,Utilities,^SP500-55,IDU,,- 'PPL',,,,
PRGO,Perrigo,Health Care,^SP500-35,IYH,,- 'PRGO',,,,
PRU,Prudential Financial,Financials,^SP500-40,IYF,,- 'PRU',,,,
PSA,Public Storage,Real Estate,^SP500-60,IYR,,- 'PSA',,,,
PSX,Phillips 66,Energy,^SP500-10,IYE,,- 'PSX',,,,
PTON,Peloton Interactive,Consumer Discretionary,^SP500-25,XLY,,- 'PTON',,,,
PVH,PVH Corp.,Consumer Discretionary,^SP500-25,XLY,,- 'PVH',,,,
PWR,Quanta Services Inc.,Industrials,^SP500-20,IYJ,,- 'PWR',,,,
PXD,Pioneer Natural Resources,Energy,^SP500-10,IYE,,- 'PXD',,,,
PYPL,PayPal,Information Technology,^SP500-45,IYW,,- 'PYPL',,,,
QCOM,QUALCOMM Inc.,Information Technology,^SP500-45,IYW,,- 'QCOM',,,,
QRVO,Qorvo,Information Technology,^SP500-45,IYW,,- 'QRVO',,,,
RCL,Royal Caribbean Cruises Ltd,Consumer Discretionary,^SP500-25,XLY,,- 'RCL',,,,
RE,Everest Re Group Ltd.,Financials,^SP500-40,IYF,,- 'RE',,,,
REG,Regency Centers Corporation,Real Estate,^SP500-60,IYR,,- 'REG',,,,
REGN,Regeneron Pharmaceuticals,Health Care,^SP500-35,IYH,,- 'REGN',,,,
RF,Regions Financial Corp.,Financials,^SP500-40,IYF,,- 'RF',,,,
RHI,Robert Half International,Industrials,^SP500-20,IYJ,,- 'RHI',,,,
RJF,Raymond James Financial Inc.,Financials,^SP500-40,IYF,,- 'RJF',,,,
RL,Polo Ralph Lauren Corp.,Consumer Discretionary,^SP500-25,XLY,,- 'RL',,,,
RMD,ResMed,Health Care,^SP500-35,IYH,,- 'RMD',,,,
ROK,Rockwell Automation Inc.,Industrials,^SP500-20,IYJ,,- 'ROK',,,,
ROP,Roper Technologies,Industrials,^SP500-20,IYJ,,- 'ROP',,,,
ROST,Ross Stores,Consumer Discretionary,^SP500-25,XLY,,- 'ROST',,,,
RRC,Range Resources Corp.,Energy,^SP500-10,IYE,,- 'RRC',,,,
RSG,Republic Services Inc,Industrials,^SP500-20,IYJ,,- 'RSG',,,,
SBAC,SBA Communications,Real Estate,^SP500-60,IYR,,- 'SBAC',,,,
SBUX,Starbucks Corp.,Consumer Discretionary,^SP500-25,XLY,,- 'SBUX',,,,
SCG,SCANA Corp,Utilities,^SP500-55,IDU,,- 'SCG',,,,
SCHW,Charles Schwab Corporation,Financials,^SP500-40,IYF,,- 'SCHW',,,,
SEE,Sealed Air,Materials,^SP500-15,IYM,,- 'SEE',,,,
SGEN,Seagen Inc.,Health Care,^SP500-35,IYH,,- 'SGEN',,,,
SHW,Sherwin-Williams,Materials,^SP500-15,IYM,,- 'SHW',,,,
SIG,Signet Jewelers,Consumer Discretionary,^SP500-25,XLY,,- 'SIG',,,,
SIRI,Sirius XM Holdings Inc.,Communication Services,^SP500-50,IYZ,,- 'SIRI',,,,
SJM,JM Smucker,Consumer Staples,^SP500-30,VDC,,- 'SJM',,,,
SLB,Schlumberger Ltd.,Energy,^SP500-10,IYE,,- 'SLB',,,,
SLG,SL Green Realty,Real Estate,^SP500-60,IYR,,- 'SLG',,,,
SNA,Snap-On Inc.,Consumer Discretionary,^SP500-25,XLY,,- 'SNA',,,,
SNPS,Synopsys Inc.,Information Technology,^SP500-45,IYW,,- 'SNPS',,,,
SO,Southern Co.,Utilities,^SP500-55,IDU,,- 'SO',,,,
SPG,Simon Property Group Inc,Real Estate,^SP500-60,IYR,,- 'SPG',,,,
SPGI,"S&P Global, Inc.",Financials,^SP500-40,IYF,,- 'SPGI',,,,
SPLK,Splunk,Information Technology,^SP500-45,IYW,,- 'SPLK',,,,
SRCL,Stericycle Inc,Industrials,^SP500-20,IYJ,,- 'SRCL',,,,
SRE,Sempra Energy,Utilities,^SP500-55,IDU,,- 'SRE',,,,
STT,State Street Corp.,Financials,^SP500-40,IYF,,- 'STT',,,,
STX,Seagate Technology,Information Technology,^SP500-45,IYW,,- 'STX',,,,
STZ,Constellation Brands,Consumer Staples,^SP500-30,VDC,,- 'STZ',,,,
SWK,Stanley Black & Decker,Consumer Discretionary,^SP500-25,XLY,,- 'SWK',,,,
SWKS,Skyworks Solutions,Information Technology,^SP500-45,IYW,,- 'SWKS',,,,
SYF,Synchrony Financial,Financials,^SP500-40,IYF,,- 'SYF',,,,
SYK,Stryker Corp.,Health Care,^SP500-35,IYH,,- 'SYK',,,,
SYY,Sysco Corp.,Consumer Staples,^SP500-30,VDC,,- 'SYY',,,,
T,AT&T Inc,Communication Services,^SP500-50,IYZ,,- 'T',,,,
TAP,Molson Coors Brewing Company,Consumer Staples,^SP500-30,VDC,,- 'TAP',,,,
TCOM,Trip.com Group,Consumer Discretionary,^SP500-25,XLY,,- 'TCOM',,,,
TDG,TransDigm Group,Industrials,^SP500-20,IYJ,,- 'TDG',,,,
TEAM,Atlassian,Information Technology,^SP500-45,IYW,,- 'TEAM',,,,
TEL,TE Connectivity Ltd.,Information Technology,^SP500-45,IYW,,- 'TEL',,,,
TGT,Target Corp.,Consumer Discretionary,^SP500-25,XLY,,- 'TGT',,,,
TJX,TJX Companies Inc.,Consumer Discretionary,^SP500-25,XLY,,- 'TJX',,,,
TMO,Thermo Fisher Scientific,Health Care,^SP500-35,IYH,,- 'TMO',,,,
TMUS,T-Mobile US,Communication Services,^SP500-50,IYZ,,- 'TMUS',,,,
TPR,"Tapestry, Inc.",Consumer Discretionary,^SP500-25,XLY,,- 'TPR',,,,
TRIP,TripAdvisor,Consumer Discretionary,^SP500-25,XLY,,- 'TRIP',,,,
TROW,T. Rowe Price Group,Financials,^SP500-40,IYF,,- 'TROW',,,,
TRV,The Travelers Companies Inc.,Financials,^SP500-40,IYF,,- 'TRV',,,,
TSCO,Tractor Supply Company,Consumer Discretionary,^SP500-25,XLY,,- 'TSCO',,,,
TSLA,"Tesla, Inc.",Consumer Discretionary,^SP500-25,XLY,,- 'TSLA',,,,
TSN,Tyson Foods,Consumer Staples,^SP500-30,VDC,,- 'TSN',,,,
TXN,Texas Instruments,Information Technology,^SP500-45,IYW,,- 'TXN',,,,
TXT,Textron Inc.,Industrials,^SP500-20,IYJ,,- 'TXT',,,,
UA,Under Armour Class C,Consumer Discretionary,^SP500-25,XLY,,- 'UA',,,,
UAA,Under Armour Class A,Consumer Discretionary,^SP500-25,XLY,,- 'UAA',,,,
UAL,United Continental Holdings,Industrials,^SP500-20,IYJ,,- 'UAL',,,,
UDR,UDR Inc,Real Estate,^SP500-60,IYR,,- 'UDR',,,,
UHS,"Universal Health Services, Inc.",Health Care,^SP500-35,IYH,,- 'UHS',,,,
ULTA,Ulta Salon Cosmetics & Fragrance Inc,Consumer Discretionary,^SP500-25,XLY,,- 'ULTA',,,,
UNH,United Health Group Inc.,Health Care,^SP500-35,IYH,,- 'UNH',,,,
UNM,Unum Group,Financials,^SP500-40,IYF,,- 'UNM',,,,
UNP,Union Pacific,Industrials,^SP500-20,IYJ,,- 'UNP',,,,
UPS,United Parcel Service,Industrials,^SP500-20,IYJ,,- 'UPS',,,,
URI,"United Rentals, Inc.",Industrials,^SP500-20,IYJ,,- 'URI',,,,
USB,U.S. Bancorp,Financials,^SP500-40,IYF,,- 'USB',,,,
V,Visa Inc.,Information Technology,^SP500-45,IYW,,- 'V',,,,
VAR,Varian Medical Systems,Health Care,^SP500-35,IYH,,- 'VAR',,,,
VFC,V.F. Corp.,Consumer Discretionary,^SP500-25,XLY,,- 'VFC',,,,
VLO,Valero Energy,Energy,^SP500-10,IYE,,- 'VLO',,,,
VMC,Vulcan Materials,Materials,^SP500-15,IYM,,- 'VMC',,,,
VNO,Vornado Realty Trust,Real Estate,^SP500-60,IYR,,- 'VNO',,,,
VRSK,Verisk Analytics,Industrials,^SP500-20,IYJ,,- 'VRSK',,,,
VRSN,Verisign Inc.,Information Technology,^SP500-45,IYW,,- 'VRSN',,,,
VRTX,Vertex Pharmaceuticals Inc,Health Care,^SP500-35,IYH,,- 'VRTX',,,,
VTR,Ventas Inc,Real Estate,^SP500-60,IYR,,- 'VTR',,,,
VZ,Verizon Communications,Communication Services,^SP500-50,IYZ,,- 'VZ',,,,
WAT,Waters Corporation,Health Care,^SP500-35,IYH,,- 'WAT',,,,
WBA,Walgreens Boots Alliance,Consumer Staples,^SP500-30,VDC,,- 'WBA',,,,
WDAY,"Workday, Inc.",Information Technology,^SP500-45,IYW,,- 'WDAY',,,,
WDC,Western Digital,Information Technology,^SP500-45,IYW,,- 'WDC',,,,
WEC,Wec Energy Group Inc,Utilities,^SP500-55,IDU,,- 'WEC',,,,
WFC,Wells Fargo,Financials,^SP500-40,IYF,,- 'WFC',,,,
WHR,Whirlpool Corp.,Consumer Discretionary,^SP500-25,XLY,,- 'WHR',,,,
WLTW,Willis Towers Watson,Financials,^SP500-40,IYF,,- 'WLTW',,,,
WM,Waste Management Inc.,Industrials,^SP500-20,IYJ,,- 'WM',,,,
WMB,Williams Cos.,Energy,^SP500-10,IYE,,- 'WMB',,,,
WMT,Wal-Mart Stores,Consumer Staples,^SP500-30,VDC,,- 'WMT',,,,
WRK,WestRock Company,Materials,^SP500-15,IYM,,- 'WRK',,,,
WU,Western Union Co,Information Technology,^SP500-45,IYW,,- 'WU',,,,
WY,Weyerhaeuser Corp.,Real Estate,^SP500-60,IYR,,- 'WY',,,,
WYNN,Wynn Resorts Ltd,Consumer Discretionary,^SP500-25,XLY,,- 'WYNN',,,,
XEC,Cimarex Energy,Energy,^SP500-10,IYE,,- 'XEC',,,,
XEL,Xcel Energy Inc,Utilities,^SP500-55,IDU,,- 'XEL',,,,
XL,XL Capital,Financials,^SP500-40,IYF,,- 'XL',,,,
XLNX,Xilinx Inc,Information Technology,^SP500-45,IYW,,- 'XLNX',,,,
XOM,Exxon Mobil Corp.,Energy,^SP500-10,IYE,,- 'XOM',,,,
XRAY,Dentsply Sirona,Health Care,^SP500-35,IYH,,- 'XRAY',,,,
XRX,Xerox Corp.,Information Technology,^SP500-45,IYW,,- 'XRX',,,,
XYL,Xylem Inc.,Industrials,^SP500-20,IYJ,,- 'XYL',,,,
YUM,Yum! Brands Inc,Consumer Discretionary,^SP500-25,XLY,,- 'YUM',,,,
ZBH,Zimmer Biomet Holdings,Health Care,^SP500-35,IYH,,- 'ZBH',,,,
ZION,Zions Bancorp,Financials,^SP500-40,IYF,,- 'ZION',,,,
ZM,Zoom Video Communications,Information Technology,^SP500-45,IYW,,- 'ZM',,,,
ZTS,Zoetis,Health Care,^SP500-35,IYH,,- 'ZTS',,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
