Symbol,Name,Sector,Sector Ticker,Sector ETF Ticker,,,,,,
C,Citigroup Inc.,Financials,^SP500-40,IYF,,- 'C',,,,
CAG,Conagra Brands,Consumer Staples,^SP500-30,VDC,,- 'CAG',,,,
CAH,Cardinal Health Inc.,Health Care,^SP500-35,IYH,,- 'CAH',,,,
CAT,Caterpillar Inc.,Industrials,^SP500-20,IYJ,,- 'CAT',,,,
CB,Chubb Limited,Financials,^SP500-40,IYF,,- 'CB',,,,
CBOE,CBOE Holdings,Financials,^SP500-40,IYF,,- 'CBOE',,,,
CCI,Crown Castle International Corp.,Real Estate,^SP500-60,IYR,,- 'CCI',,,,
CCL,Carnival Corp.,Consumer Discretionary,^SP500-25,XLY,,- 'CCL',,,,
CDNS,Cadence Design Systems,Information Technology,^SP500-45,IYW,,- 'CDNS',,,,
CDW,CDW,Information Technology,^SP500-45,IYW,,- 'CDW',,,,
CERN,Cerner,Health Care,^SP500-35,IYH,,- 'CERN',,,,
CF,CF Industries Holdings Inc,Materials,^SP500-15,IYM,,- 'CF',,,,
CFG,Citizens Financial Group,Financials,^SP500-40,IYF,,- 'CFG',,,,
CHD,Church & Dwight,Consumer Staples,^SP500-30,VDC,,- 'CHD',,,,
CHKP,Check Point Software Technologies Ltd.,Information Technology,^SP500-45,IYW,,- 'CHKP',,,,
CHRW,C. H. Robinson Worldwide,Industrials,^SP500-20,IYJ,,- 'CHRW',,,,
CHTR,"Charter Communications, Inc.",Communication Services,^SP500-50,IYZ,,- 'CHTR',,,,
CI,CIGNA Corp.,Health Care,^SP500-35,IYH,,- 'CI',,,,
CINF,Cincinnati Financial,Financials,^SP500-40,IYF,,- 'CINF',,,,
CL,Colgate-Palmolive,Consumer Staples,^SP500-30,VDC,,- 'CL',,,,
CLX,The Clorox Company,Consumer Staples,^SP500-30,VDC,,- 'CLX',,,,
CMA,Comerica Inc.,Financials,^SP500-40,IYF,,- 'CMA',,,,
CMCSA,Comcast Corporation,Communication Services,^SP500-50,IYZ,,- 'CMCSA',,,,
CME,CME Group Inc.,Financials,^SP500-40,IYF,,- 'CME',,,,
CMG,Chipotle Mexican Grill,Consumer Discretionary,^SP500-25,XLY,,- 'CMG',,,,
CMI,Cummins Inc.,Industrials,^SP500-20,IYJ,,- 'CMI',,,,
CMS,CMS Energy,Utilities,^SP500-55,IDU,,- 'CMS',,,,
CNC,Centene Corporation,Health Care,^SP500-35,IYH,,- 'CNC',,,,
CNP,CenterPoint Energy,Utilities,^SP500-55,IDU,,- 'CNP',,,,
COF,Capital One Financial,Financials,^SP500-40,IYF,,- 'COF',,,,
COG,Cabot Oil & Gas,Energy,^SP500-10,IYE,,- 'COG',,,,
COL,Rockwell Collins,Industrials,^SP500-20,IYJ,,- 'COL',,,,
COO,The Cooper Companies,Health Care,^SP500-35,IYH,,- 'COO',,,,
COP,ConocoPhillips,Energy,^SP500-10,IYE,,- 'COP',,,,
COST,Costco Wholesale Corp.,Consumer Staples,^SP500-30,VDC,,- 'COST',,,,
COTY,"Coty, Inc",Consumer Staples,^SP500-30,VDC,,- 'COTY',,,,
CPB,Campbell Soup,Consumer Staples,^SP500-30,VDC,,- 'CPB',,,,
CPRT,Copart,Industrials,^SP500-20,IYJ,,- 'CPRT',,,,
CRM,Salesforce.com,Information Technology,^SP500-45,IYW,,- 'CRM',,,,
CSCO,Cisco Systems,Information Technology,^SP500-45,IYW,,- 'CSCO',,,,
CSX,CSX Corp.,Industrials,^SP500-20,IYJ,,- 'CSX',,,,
CTAS,Cintas Corporation,Industrials,^SP500-20,IYJ,,- 'CTAS',,,,
CTSH,Cognizant Technology Solutions,Information Technology,^SP500-45,IYW,,- 'CTSH',,,,
CTXS,Citrix Systems,Information Technology,^SP500-45,IYW,,- 'CTXS',,,,
CVS,CVS Health,Consumer Staples,^SP500-30,VDC,,- 'CVS',,,,
CVX,Chevron Corp.,Energy,^SP500-10,IYE,,- 'CVX',,,,
D,Dominion Energy,Utilities,^SP500-55,IDU,,- 'D',,,,
DAL,Delta Air Lines Inc.,Industrials,^SP500-20,IYJ,,- 'DAL',,,,
DE,Deere & Co.,Industrials,^SP500-20,IYJ,,- 'DE',,,,
DFS,Discover Financial Services,Financials,^SP500-40,IYF,,- 'DFS',,,,
DG,Dollar General,Consumer Discretionary,^SP500-25,XLY,,- 'DG',,,,
DGX,Quest Diagnostics,Health Care,^SP500-35,IYH,,- 'DGX',,,,
DHI,D. R. Horton,Consumer Discretionary,^SP500-25,XLY,,- 'DHI',,,,
DHR,Danaher Corp.,Health Care,^SP500-35,IYH,,- 'DHR',,,,
DIS,The Walt Disney Company,Consumer Discretionary,^SP500-25,XLY,,- 'DIS',,,,
DISCA,Discovery Communications-A,Consumer Discretionary,^SP500-25,XLY,,- 'DISCA',,,,
DISCK,Discovery Communications-C,Consumer Discretionary,^SP500-25,XLY,,- 'DISCK',,,,
DISH,Dish Network,Consumer Discretionary,^SP500-25,XLY,,- 'DISH',,,,
DLR,Digital Realty Trust Inc,Real Estate,^SP500-60,IYR,,- 'DLR',,,,
DLTR,Dollar Tree,Consumer Discretionary,^SP500-25,XLY,,- 'DLTR',,,,
DOCU,DocuSign,Information Technology,^SP500-45,IYW,,- 'DOCU',,,,
DOV,Dover Corp.,Industrials,^SP500-20,IYJ,,- 'DOV',,,,
DRE,Duke Realty Corp,Real Estate,^SP500-60,IYR,,- 'DRE',,,,
DRI,Darden Restaurants,Consumer Discretionary,^SP500-25,XLY,,- 'DRI',,,,
DTE,DTE Energy Co.,Utilities,^SP500-55,IDU,,- 'DTE',,,,
DUK,Duke Energy,Utilities,^SP500-55,IDU,,- 'DUK',,,,
DVA,DaVita Inc.,Health Care,^SP500-35,IYH,,- 'DVA',,,,
DVN,Devon Energy Corp.,Energy,^SP500-10,IYE,,- 'DVN',,,,
DXC,DXC Technology,Information Technology,^SP500-45,IYW,,- 'DXC',,,,
DXCM,DexCom,Health Care,^SP500-35,IYH,,- 'DXCM',,,,
EA,Electronic Arts,Communication Services,^SP500-50,IYZ,,- 'EA',,,,
EA,Electronic Arts,Information Technology,^SP500-45,IYW,,- 'EA',,,,
EBAY,eBay Inc.,Consumer Discretionary,^SP500-25,XLY,,- 'EBAY',,,,
ECL,Ecolab Inc.,Materials,^SP500-15,IYM,,- 'ECL',,,,
ED,Consolidated Edison,Utilities,^SP500-55,IDU,,- 'ED',,,,
EFX,Equifax Inc.,Industrials,^SP500-20,IYJ,,- 'EFX',,,,
EIX,Edison Int'l,Utilities,^SP500-55,IDU,,- 'EIX',,,,
EL,Estee Lauder Cos.,Consumer Staples,^SP500-30,VDC,,- 'EL',,,,
EMN,Eastman Chemical,Materials,^SP500-15,IYM,,- 'EMN',,,,
EMR,Emerson Electric Company,Industrials,^SP500-20,IYJ,,- 'EMR',,,,
EOG,EOG Resources,Energy,^SP500-10,IYE,,- 'EOG',,,,
EQIX,Equinix,Real Estate,^SP500-60,IYR,,- 'EQIX',,,,
EQR,Equity Residential,Real Estate,^SP500-60,IYR,,- 'EQR',,,,
EQT,EQT Corporation,Energy,^SP500-10,IYE,,- 'EQT',,,,
ES,Eversource Energy,Utilities,^SP500-55,IDU,,- 'ES',,,,
ESS,"Essex Property Trust, Inc.",Real Estate,^SP500-60,IYR,,- 'ESS',,,,
ETN,Eaton Corporation,Industrials,^SP500-20,IYJ,,- 'ETN',,,,
ETR,Entergy Corp.,Utilities,^SP500-55,IDU,,- 'ETR',,,,
EW,Edwards Lifesciences,Health Care,^SP500-35,IYH,,- 'EW',,,,
EXC,Exelon Corp.,Utilities,^SP500-55,IDU,,- 'EXC',,,,
EXPD,Expeditors International,Industrials,^SP500-20,IYJ,,- 'EXPD',,,,
EXPE,Expedia Inc.,Consumer Discretionary,^SP500-25,XLY,,- 'EXPE',,,,
EXR,Extra Space Storage,Real Estate,^SP500-60,IYR,,- 'EXR',,,,
F,Ford Motor,Consumer Discretionary,^SP500-25,XLY,,- 'F',,,,
FAST,Fastenal Co,Industrials,^SP500-20,IYJ,,- 'FAST',,,,
