ticker,feature_list,total deviation,avg deviation,max deviation,min deviation,proportion good days
GE,"['Close', '2 YR', '30 YR', 'Sector_Close', 'VIX', 'personal_sav_rate', 'oil_price', 'schiller_ratio', 'consumer_sentiment', 'public_debt', 'Bullish', 'Bearish', 'gdp', 'cpi', 'unemployment']",158.9261,2.8966,1.0442,0.002,3.1%
IBM,"['Close', '2 YR', '30 YR', 'Sector_Close', 'VIX', 'personal_sav_rate', 'oil_price', 'schiller_ratio', 'consumer_sentiment', 'public_debt', 'Bullish', 'Bearish', 'gdp', 'cpi', 'unemployment']",50.5949,13.1751,0.3966,0.0003,4.37%
