run_id,master_date_mode,master_start,master_end,repeatable_run,years_window,training_proportion,close_threshold,look_back,look_ahead,look_ahead_scale,tech_list,ticker,total deviation,avg deviation,max deviation,min deviation,proportion good days
1,True,2015-01-01','2016-01-01',False,2,0.8,0.01,20,7,0.5,"[IBM, AAPL, MSFT]",IBM,5.5754,17.8657,0.1703,0.0778,0.0%
1,True,2015-01-01','2016-01-01',False,2,0.8,0.01,20,7,0.5,"[IBM, AAPL, MSFT]",AAPL,3.8675,2.5859,0.1702,0.014,0.0%
1,True,2015-01-01','2016-01-01',False,2,0.8,0.01,20,7,0.5,"[IBM, AAPL, MSFT]",MSFT,6.5775,8.3553,0.1844,0.1246,0.0%
2,False,'2010-01-01','2016-01-01',False,2,0.8,0.01,20,14,0.5,[GE],GE,5.5281,0.8057,0.2826,0.0001,9.18%
3,False,'2010-01-01','2016-01-01',False,1,0.8,0.01,20,7,0.5,"[ARNC, ASML]",ARNC,6.5629,4.2182,0.2846,0.0172,0.0%
3,False,'2010-01-01','2016-01-01',False,1,0.8,0.01,20,7,0.5,"[ARNC, ASML]",ASML,4.2225,60.5964,0.1928,0.0033,4.17%
