run_id,master_date_mode,master_start,master_end,repeatable_run,years_window,training_proportion,close_threshold,look_back,look_ahead,look_ahead_scale,tech_list,ticker,feature_list,total deviation,avg deviation,max deviation,min deviation,proportion good days
1,True,2015-01-01','2016-01-01',False,2,0.8,0.01,20,7,0.5,"[IBM, AAPL, MSFT]",IBM,"['Close', '2 YR', '30 YR', 'Sector_Close', 'VIX', 'URTH', 'personal_sav_rate', 'oil_price', 'schiller_ratio', 'consumer_sentiment', 'public_debt', 'Bullish', 'Bearish', 'gdp', 'cpi', 'unemployment']",3.9538,12.6694,0.1326,0.0306,0.0%
1,True,2015-01-01','2016-01-01',False,2,0.8,0.01,20,7,0.5,"[IBM, AAPL, MSFT]",AAPL,"['Close', '2 YR', '30 YR', 'Sector_Close', 'VIX', 'URTH', 'personal_sav_rate', 'oil_price', 'schiller_ratio', 'consumer_sentiment', 'public_debt', 'Bullish', 'Bearish', 'gdp', 'cpi', 'unemployment']",3.3765,2.2576,0.1531,0.0032,2.0%
1,True,2015-01-01','2016-01-01',False,2,0.8,0.01,20,7,0.5,"[IBM, AAPL, MSFT]",MSFT,"['Close', '2 YR', '30 YR', 'Sector_Close', 'VIX', 'URTH', 'personal_sav_rate', 'oil_price', 'schiller_ratio', 'consumer_sentiment', 'public_debt', 'Bullish', 'Bearish', 'gdp', 'cpi', 'unemployment']",4.7333,6.0126,0.1613,0.0707,0.0%
2,False,'2010-01-01','2016-01-01',False,2,0.8,0.01,20,14,0.5,[GE],GE,"['Close', '2 YR', '30 YR', 'Sector_Close', 'VIX', 'URTH', 'personal_sav_rate', 'oil_price', 'schiller_ratio', 'consumer_sentiment', 'public_debt', 'Bullish', 'Bearish', 'gdp', 'cpi', 'unemployment']",13.2884,1.9459,0.3558,0.0501,0.0%
3,False,'2010-01-01','2016-01-01',False,1,0.8,0.01,20,7,0.5,"[ARNC, ASML]",ARNC,"['Close', '2 YR', '30 YR', 'Sector_Close', 'VIX', 'URTH', 'personal_sav_rate', 'oil_price', 'schiller_ratio', 'consumer_sentiment', 'public_debt', 'Bullish', 'Bearish', 'gdp', 'cpi', 'unemployment']",8.0225,5.3006,0.2918,0.0062,2.0%
3,False,'2010-01-01','2016-01-01',False,1,0.8,0.01,20,7,0.5,"[ARNC, ASML]",ASML,"['Close', '2 YR', '30 YR', 'Sector_Close', 'VIX', 'URTH', 'personal_sav_rate', 'oil_price', 'schiller_ratio', 'consumer_sentiment', 'public_debt', 'Bullish', 'Bearish', 'gdp', 'cpi', 'unemployment']",2.851,40.9922,0.1159,0.0206,0.0%
