run_id,master_date_mode,master_start,master_end,repeatable_run,years_window,training_proportion,close_threshold,look_back,look_ahead,look_ahead_scale,tech_list,ticker,feature_list,total deviation,avg deviation,max deviation,min deviation,proportion good days
1,True,2015-01-01','2016-01-01',False,2,0.8,0.01,20,7,0.5,"[IBM, AAPL, MSFT]",IBM,"['Close', '2 YR', '30 YR', 'VIX', 'us_dollar_index', 'personal_sav_rate', 'oil_price', 'schiller_ratio', 'consumer_sentiment', 'public_debt', 'Bullish', 'Bearish', 'gdp', 'cpi', 'unemployment']",7.6652,24.5622,0.2165,0.1252,0.0%
1,True,2015-01-01','2016-01-01',False,2,0.8,0.01,20,7,0.5,"[IBM, AAPL, MSFT]",AAPL,"['Close', '2 YR', '30 YR', 'VIX', 'us_dollar_index', 'personal_sav_rate', 'oil_price', 'schiller_ratio', 'consumer_sentiment', 'public_debt', 'Bullish', 'Bearish', 'gdp', 'cpi', 'unemployment']",3.7599,2.514,0.1699,0.0063,2.0%
1,True,2015-01-01','2016-01-01',False,2,0.8,0.01,20,7,0.5,"[IBM, AAPL, MSFT]",MSFT,"['Close', '2 YR', '30 YR', 'VIX', 'us_dollar_index', 'personal_sav_rate', 'oil_price', 'schiller_ratio', 'consumer_sentiment', 'public_debt', 'Bullish', 'Bearish', 'gdp', 'cpi', 'unemployment']",5.0262,6.3847,0.1435,0.0927,0.0%
2,False,'2010-01-01','2016-01-01',False,2,0.8,0.01,20,14,0.5,[GE],GE,"['Close', '2 YR', '30 YR', 'VIX', 'us_dollar_index', 'personal_sav_rate', 'oil_price', 'schiller_ratio', 'consumer_sentiment', 'public_debt', 'Bullish', 'Bearish', 'gdp', 'cpi', 'unemployment']",12.5506,1.851,0.3374,0.0322,0.0%
3,False,'2010-01-01','2016-01-01',False,1,0.8,0.01,20,7,0.5,"[ARNC, ASML]",ARNC,"['Close', '2 YR', '30 YR', 'VIX', 'us_dollar_index', 'personal_sav_rate', 'oil_price', 'schiller_ratio', 'consumer_sentiment', 'public_debt', 'Bullish', 'Bearish', 'gdp', 'cpi', 'unemployment']",5.4069,3.6627,0.223,0.0061,4.0%
3,False,'2010-01-01','2016-01-01',False,1,0.8,0.01,20,7,0.5,"[ARNC, ASML]",ASML,"['Close', '2 YR', '30 YR', 'VIX', 'us_dollar_index', 'personal_sav_rate', 'oil_price', 'schiller_ratio', 'consumer_sentiment', 'public_debt', 'Bullish', 'Bearish', 'gdp', 'cpi', 'unemployment']",2.361,34.4595,0.1117,0.001,8.0%
