ticker,feature_list,total deviation,avg deviation,max deviation,min deviation,proportion good days
GE,"['Close', '2 YR', 'Sector_Close', 'VIX', 'us_dollar_index', 'personal_sav_rate', 'oil_price', 'schiller_ratio', 'consumer_sentiment', 'public_debt', 'Bullish', 'Bearish', 'gdp', 'cpi', 'unemployment']",954.5188,11.9445,1.669,0.3513,0.0%
IBM,"['Close', '2 YR', 'Sector_Close', 'VIX', 'us_dollar_index', 'personal_sav_rate', 'oil_price', 'schiller_ratio', 'consumer_sentiment', 'public_debt', 'Bullish', 'Bearish', 'gdp', 'cpi', 'unemployment']",113.1359,17.3687,0.4655,0.0001,4.33%
