ticker,feature_list,total deviation,avg deviation,max deviation,min deviation,proportion good days
GE,"['Close', '2 YR', '30 YR', 'VIX', 'us_dollar_index', 'personal_sav_rate', 'oil_price', 'schiller_ratio', 'consumer_sentiment', 'public_debt', 'Bullish', 'Bearish', 'gdp', 'cpi', 'unemployment']",0.0,,,,0.0%
IBM,"['Close', '2 YR', '30 YR', 'VIX', 'us_dollar_index', 'personal_sav_rate', 'oil_price', 'schiller_ratio', 'consumer_sentiment', 'public_debt', 'Bullish', 'Bearish', 'gdp', 'cpi', 'unemployment']",0.0,,,,0.0%
