ticker,feature_list,total deviation,avg deviation,max deviation,min deviation,proportion good days
GE,"['Close', '2 YR', 'Sector_Close', 'VIX', 'us_dollar_index', 'personal_sav_rate', 'oil_price', 'schiller_ratio', 'consumer_sentiment', 'public_debt', 'Bullish', 'Bearish', 'gdp', 'cpi', 'unemployment']",0.7676,2.2798,0.1232,0.0371,0.0%
IBM,"['Close', '2 YR', 'Sector_Close', 'VIX', 'us_dollar_index', 'personal_sav_rate', 'oil_price', 'schiller_ratio', 'consumer_sentiment', 'public_debt', 'Bullish', 'Bearish', 'gdp', 'cpi', 'unemployment']",0.75,6.7798,0.1104,0.0488,0.0%
