run_id,master_date_mode,master_start,master_end,repeatable_run,years_window,training_proportion,close_threshold,look_back,look_ahead,look_ahead_scale,tech_list,ticker,feature_list,total deviation,avg deviation,max deviation,min deviation,proportion good days
1,True,2015-01-01','2016-01-01',False,2,0.8,0.01,20,7,0.5,"[IBM, AAPL, MSFT]",IBM,"['Close', '2 YR', '30 YR', 'VIX', 'personal_sav_rate', 'oil_price', 'schiller_ratio', 'consumer_sentiment', 'public_debt', 'Bullish', 'Bearish', 'gdp', 'cpi', 'unemployment']",4.884,15.6502,0.148,0.07,0.0%
1,True,2015-01-01','2016-01-01',False,2,0.8,0.01,20,7,0.5,"[IBM, AAPL, MSFT]",AAPL,"['Close', '2 YR', '30 YR', 'VIX', 'personal_sav_rate', 'oil_price', 'schiller_ratio', 'consumer_sentiment', 'public_debt', 'Bullish', 'Bearish', 'gdp', 'cpi', 'unemployment']",3.5347,2.3634,0.1629,0.0009,8.0%
1,True,2015-01-01','2016-01-01',False,2,0.8,0.01,20,7,0.5,"[IBM, AAPL, MSFT]",MSFT,"['Close', '2 YR', '30 YR', 'VIX', 'personal_sav_rate', 'oil_price', 'schiller_ratio', 'consumer_sentiment', 'public_debt', 'Bullish', 'Bearish', 'gdp', 'cpi', 'unemployment']",7.2376,9.1938,0.2078,0.1342,0.0%
2,True,2006-10-01',2020-10-01',False,2,0.8,0.01,20,14,0.5,[GE],GE,"['Close', '2 YR', '30 YR', 'VIX', 'personal_sav_rate', 'oil_price', 'schiller_ratio', 'consumer_sentiment', 'public_debt', 'Bullish', 'Bearish', 'gdp', 'cpi', 'unemployment']",338.3918,5.034,1.0417,0.0016,1.14%
3,False,'2010-01-01','2016-01-01',False,1,0.8,0.01,20,7,0.5,"[ARNC, ASML]",ARNC,"['Close', '2 YR', '30 YR', 'VIX', 'personal_sav_rate', 'oil_price', 'schiller_ratio', 'consumer_sentiment', 'public_debt', 'Bullish', 'Bearish', 'gdp', 'cpi', 'unemployment']",4.9875,3.3405,0.2417,0.0008,8.0%
3,False,'2010-01-01','2016-01-01',False,1,0.8,0.01,20,7,0.5,"[ARNC, ASML]",ASML,"['Close', '2 YR', '30 YR', 'VIX', 'personal_sav_rate', 'oil_price', 'schiller_ratio', 'consumer_sentiment', 'public_debt', 'Bullish', 'Bearish', 'gdp', 'cpi', 'unemployment']",2.0859,30.2653,0.0931,0.0022,14.0%
